Price,Condo,Size,Rooms,Toilets,Suites,Parking,Elevator,Furnished,Swimming Pool,New,District,Negotiation Type,Property Type,Latitude,Longitude
732600,1000,74,1,2,1,2,1,0,1,0,Vila Madalena/São Paulo,sale,apartment,-23.552129,-46.692244
1990000,2400,164,4,5,2,3,1,1,1,0,Vila Madalena/São Paulo,sale,apartment,-23.551613,-46.699106
720000,700,70,2,2,1,1,1,0,1,1,Vila Madalena/São Paulo,sale,apartment,-23.547687,-46.692594
1680000,1580,155,3,5,3,2,1,0,1,0,Vila Madalena/São Paulo,sale,apartment,-23.55259,-46.691104
1200000,900,56,2,2,1,2,0,1,1,0,Vila Madalena/São Paulo,sale,apartment,-23.553087,-46.69789
1950000,2207,122,3,2,1,2,1,0,1,0,Vila Madalena/São Paulo,sale,apartment,-23.558541,-46.69232
2105860,0,149,4,1,3,2,1,0,1,0,Vila Madalena/São Paulo,sale,apartment,-23.548473,-46.693005
1475610,1000,118,3,3,1,2,1,0,1,0,Vila Madalena/São Paulo,sale,apartment,-23.549317,-46.692097
1350000,1350,112,3,3,1,2,0,1,1,0,Vila Madalena/São Paulo,sale,apartment,-23.554729,-46.689597
1880000,1050,149,4,5,2,2,1,0,1,0,Vila Madalena/São Paulo,sale,apartment,-23.548235,-46.692536
720000,900,73,2,2,1,1,1,0,0,0,Vila Madalena/São Paulo,sale,apartment,-23.544957,-46.693206
1100000,1000,94,3,3,1,1,1,0,0,0,Vila Madalena/São Paulo,sale,apartment,-23.543664,-46.704285
650000,0,67,2,2,1,1,1,0,0,1,Vila Madalena/São Paulo,sale,apartment,-23.56215,-46.692518
1500000,1650,156,4,5,3,3,0,0,0,0,Vila Madalena/São Paulo,sale,apartment,-23.552596,-46.691106
928000,1100,97,3,2,1,1,1,0,0,0,Vila Madalena/São Paulo,sale,apartment,-23.545566,-46.693608
697400,500,67,3,2,1,1,1,0,1,0,Vila Madalena/São Paulo,sale,apartment,-23.544082,-46.690373
750000,835,75,2,2,1,1,0,0,0,0,Vila Madalena/São Paulo,sale,apartment,-23.552039,-46.698436
2680001,0,168,2,3,2,3,1,0,1,0,Vila Madalena/São Paulo,sale,apartment,-23.554117,-46.686749
820000,1500,93,2,2,1,1,1,0,0,0,Vila Madalena/São Paulo,sale,apartment,-23.54652,-46.694236
820000,1500,90,2,2,1,1,0,1,0,0,Vila Madalena/São Paulo,sale,apartment,-23.546733,-46.694201
1100000,0,93,2,1,2,1,1,0,1,0,Vila Madalena/São Paulo,sale,apartment,-23.546658,-46.692002
980000,570,67,2,2,1,1,1,0,1,0,Vila Madalena/São Paulo,sale,apartment,-23.544408,-46.691265
4125000,0,275,4,5,4,4,1,0,1,0,Vila Madalena/São Paulo,sale,apartment,-23.549316,-46.692097
1150000,0,105,2,3,2,2,0,0,0,0,Vila Madalena/São Paulo,sale,apartment,-23.557858,-46.687365
